k genomic.kmers cov.cutoff
21 5361 99
31 5382 53
41 5385 42
51 5385 32
61 5385 19
71 5385 26
81 5386 17
91 5386 11
101 5386 7
111 5387 4
115 5387 3
117 5388 3
119 5390 3
121 5399 2
