/mnt/data/tick/isoseq/tick0/tick0.transcriptome.fasta,/mnt/data/tick/isoseq/tick1/tick1.transcriptome.fasta,/mnt/data/tick/isoseq/tick2/tick2.transcriptome.fasta,/mnt/data/tick/isoseq/tick4/tick4.transcriptome.fasta
1.0,0.006,0.004,0.008
0.006,1.0,0.044,0.004
0.004,0.044,1.0,0.0
0.008,0.004,0.0,1.0
