/mnt/data/tick/fake-genome-transcriptome/tick0.fake_ref_transcriptome.fasta,/mnt/data/tick/fake-genome-transcriptome/tick1.fake_ref_transcriptome.fasta,/mnt/data/tick/fake-genome-transcriptome/tick2.fake_ref_transcriptome.fasta,/mnt/data/tick/fake-genome-transcriptome/tick4.fake_ref_transcriptome.fasta
1.0,0.006,0.004,0.018
0.006,1.0,0.104,0.008
0.004,0.104,1.0,0.004
0.018,0.008,0.004,1.0
