/mnt/data/tick/isoseq/tick0.orphans.fasta,/mnt/data/tick/isoseq/tick1.orphans.fasta,/mnt/data/tick/isoseq/tick2.orphans.fasta,/mnt/data/tick/isoseq/tick4.orphans.fasta
1.0,0.0,0.0,0.006
0.0,1.0,0.038,0.0
0.0,0.038,1.0,0.0
0.006,0.0,0.0,1.0
