/mnt/data/tick/isoseq/tick0/tick0.transcriptome.fasta,/mnt/data/tick/isoseq/tick1/tick1.transcriptome.fasta,/mnt/data/tick/isoseq/tick2/tick2.transcriptome.fasta,/mnt/data/tick/isoseq/tick4/tick4.transcriptome.fasta
1.0,0.01,0.008,0.024
0.01,1.0,0.08,0.008
0.008,0.08,1.0,0.008
0.024,0.008,0.008,1.0
