/mnt/data/tick/isoseq/tick0/tick0.transcriptome.fasta,/mnt/data/tick/isoseq/tick1/tick1.transcriptome.fasta,/mnt/data/tick/isoseq/tick2/tick2.transcriptome.fasta,/mnt/data/tick/isoseq/tick4/tick4.transcriptome.fasta
1.0,0.038,0.028,0.058
0.038,1.0,0.108,0.03
0.028,0.108,1.0,0.024
0.058,0.03,0.024,1.0
