/mnt/data/tick/isoseq/tick0.orphans.fasta,/mnt/data/tick/isoseq/tick1.orphans.fasta,/mnt/data/tick/isoseq/tick2.orphans.fasta,/mnt/data/tick/isoseq/tick4.orphans.fasta
1.0,0.004,0.0,0.01
0.004,1.0,0.052,0.006
0.0,0.052,1.0,0.004
0.01,0.006,0.004,1.0
