/mnt/data/tick/isoseq/tick0.orphans.fasta,/mnt/data/tick/isoseq/tick1.orphans.fasta,/mnt/data/tick/isoseq/tick2.orphans.fasta,/mnt/data/tick/isoseq/tick4.orphans.fasta
1.0,0.002,0.0,0.006
0.002,1.0,0.064,0.01
0.0,0.064,1.0,0.006
0.006,0.01,0.006,1.0
