,tick0,tick1,tick2,tick4
GO:0007385,1,1,1,0
GO:0007386,5,3,1,2
GO:0007389,118,184,58,113
GO:0007390,2,5,1,1
GO:0007391,23,44,17,25
GO:0007392,5,4,2,9
GO:0007394,4,2,1,7
GO:0007395,1,2,1,2
GO:0007396,0,2,0,0
GO:0007398,2,4,0,1
GO:0007399,478,646,332,371
GO:0007400,3,4,0,5
GO:0007403,1,0,0,0
GO:0007405,10,21,5,9
GO:0007406,2,3,0,0
GO:0007409,81,132,50,71
GO:0007411,70,109,38,62
GO:0007412,2,5,3,2
GO:0007413,10,13,3,5
GO:0007414,0,1,1,0
GO:0007415,0,1,1,0
GO:0007416,20,32,9,12
GO:0007417,68,104,39,40
GO:0007418,0,1,0,0
GO:0007419,3,5,0,0
GO:0007420,48,61,31,26
GO:0007422,14,21,6,17
GO:0007423,101,174,72,100
GO:0007424,51,70,21,41
GO:0007425,0,1,0,0
GO:0007426,3,4,1,2
GO:0007427,15,8,1,6
GO:0007428,3,1,1,3
GO:0007430,6,11,4,5
GO:0007431,57,58,42,34
GO:0007432,2,0,0,0
GO:0007435,55,50,37,32
GO:0007436,1,1,1,1
GO:0007438,2,2,2,0
GO:0007439,4,3,0,2
GO:0007440,5,5,4,3
GO:0007441,1,2,0,0
GO:0007442,8,14,2,9
GO:0007443,8,13,2,9
GO:0007444,134,308,104,130
GO:0007446,7,9,1,7
GO:0007447,6,22,8,14
GO:0007448,0,4,1,2
GO:0007449,3,1,0,0
GO:0007450,2,13,3,10
GO:0007451,1,2,0,0
GO:0007455,13,77,13,19
GO:0007458,0,1,0,1
GO:0007460,1,3,1,1
GO:0007464,4,6,1,1
GO:0007465,6,15,6,5
GO:0007468,1,0,0,1
GO:0007469,0,3,0,1
GO:0007472,68,129,48,62
GO:0007473,1,0,0,0
GO:0007474,7,9,4,7
GO:0007475,3,10,6,5
GO:0007476,66,129,48,62
GO:0007478,18,81,15,31
GO:0007479,2,0,0,0
GO:0007480,18,81,15,31
GO:0007482,0,2,2,0
GO:0007483,5,9,5,1
GO:0007484,5,9,5,1
GO:0007485,5,9,5,1
GO:0007486,0,2,0,0
GO:0007487,0,2,0,0
GO:0007488,3,5,2,3
GO:0007490,2,1,0,0
GO:0007492,0,6,0,1
GO:0007493,0,2,0,1
GO:0007494,2,7,3,2
GO:0007496,0,0,0,1
GO:0007498,31,39,21,22
GO:0007500,0,1,0,0
GO:0007501,0,1,0,0
GO:0007503,0,3,0,0
GO:0007506,1,4,0,1
GO:0007507,46,56,30,39
GO:0007508,0,1,0,0
GO:0007509,1,2,3,0
GO:0007510,0,1,0,0
GO:0007516,1,5,0,0
GO:0007517,93,103,63,65
GO:0007519,52,60,37,45
GO:0007520,9,14,9,11
GO:0007521,3,1,2,0
GO:0007522,0,2,2,2
GO:0007523,0,2,1,2
GO:0007525,18,18,8,10
GO:0007526,0,4,5,2
GO:0007527,13,9,0,4
GO:0007528,30,34,13,22
GO:0007529,1,0,0,1
GO:0007530,8,9,2,5
GO:0007538,3,3,1,2
GO:0007539,3,1,1,1
GO:0007541,2,1,1,1
GO:0007542,2,1,0,1
GO:0007548,79,146,63,64
GO:0007549,5,4,4,5
GO:0007552,143,278,105,122
GO:0007556,1,0,1,1
GO:0007557,1,0,1,1
GO:0007559,50,41,30,28
GO:0007560,92,237,72,93
GO:0007561,0,4,0,0
GO:0007562,2,6,2,3
GO:0007563,5,9,1,4
GO:0007564,0,1,5,2
GO:0007565,5,6,16,7
GO:0007566,3,4,4,4
GO:0007567,1,1,2,0
GO:0007568,113,135,84,75
GO:0007569,6,6,3,1
GO:0007576,0,1,0,0
GO:0007584,10,21,18,7
GO:0007585,3,1,1,0
GO:0007586,6,9,7,8
GO:0007588,5,3,2,5
GO:0007589,1,1,0,1
GO:0007591,15,24,9,16
GO:0007593,4,3,3,1
GO:0007594,1,0,0,1
GO:0007595,1,1,0,1
GO:0007596,9,17,11,5
GO:0007597,1,3,4,0
GO:0007599,12,18,12,6
GO:0007600,22,31,22,29
GO:0007601,9,13,5,9
GO:0007602,9,13,7,8
GO:0007603,2,8,5,6
GO:0007604,0,4,1,1
GO:0007605,8,12,11,10
GO:0007606,1,6,3,1
GO:0007608,1,4,0,0
GO:0007610,152,210,108,123
GO:0007611,27,40,18,33
GO:0007612,12,21,11,15
GO:0007613,19,28,10,21
GO:0007614,4,5,3,2
GO:0007615,0,0,1,0
GO:0007616,17,19,5,16
GO:0007617,21,35,11,14
GO:0007618,22,37,12,16
GO:0007619,14,23,5,10
GO:0007620,1,3,1,2
GO:0007621,1,2,0,0
GO:0007622,15,38,9,16
GO:0007623,26,50,11,23
GO:0007625,2,1,0,1
GO:0007626,54,72,36,32
GO:0007628,1,2,4,2
GO:0007629,19,17,3,11
GO:0007630,1,1,2,3
GO:0007631,8,12,8,10
GO:0007632,9,9,3,8
GO:0007634,0,0,0,1
GO:0007635,23,32,19,18
GO:0007637,2,0,1,1
GO:0007638,2,2,0,1
GO:0008009,0,2,0,0
GO:0008010,0,0,0,1
GO:0008013,0,6,1,2
GO:0008015,16,10,9,18
GO:0008016,11,8,17,10
GO:0008017,15,28,12,23
GO:0008021,15,31,18,24
GO:0008022,2,1,2,5
GO:0008023,9,14,8,11
GO:0008024,0,2,1,3
GO:0008026,38,49,14,22
GO:0008028,14,17,20,9
GO:0008033,15,16,7,8
GO:0008035,1,6,1,2
GO:0008036,0,0,0,1
GO:0008037,34,47,26,38
GO:0008038,33,39,24,34
GO:0008039,9,11,14,18
GO:0008043,1,0,0,0
GO:0008045,12,14,10,12
GO:0008046,1,0,1,1
GO:0008047,13,40,14,18
GO:0008048,0,0,0,1
GO:0008049,13,21,4,9
GO:0008052,5,4,0,8
GO:0008053,2,2,2,3
GO:0008054,6,1,0,3
GO:0008055,6,10,2,2
GO:0008056,0,1,1,0
GO:0008057,6,5,2,0
GO:0008060,1,3,0,3
GO:0008061,3,4,1,0
GO:0008062,2,5,2,3
GO:0008063,10,13,4,4
GO:0008064,12,15,9,14
GO:0008065,1,4,1,2
GO:0008066,3,1,3,2
GO:0008068,1,0,0,1
GO:0008069,8,5,4,5
GO:0008076,0,1,0,0
GO:0008078,1,2,2,0
GO:0008079,8,4,2,5
GO:0008080,4,17,5,3
GO:0008081,4,6,2,3
GO:0008083,3,5,5,1
GO:0008088,7,9,7,3
GO:0008089,0,1,1,1
GO:0008090,2,0,2,2
GO:0008091,1,1,2,1
GO:0008092,102,127,74,99
GO:0008093,1,0,0,4
GO:0008094,13,20,4,7
GO:0008097,1,1,0,2
GO:0008098,0,0,0,1
GO:0008101,0,3,1,0
GO:0008103,12,14,5,19
GO:0008104,170,195,97,116
GO:0008105,14,23,5,9
GO:0008106,2,0,2,0
GO:0008107,0,0,0,1
GO:0008109,0,0,1,0
GO:0008111,0,0,3,0
GO:0008113,5,2,1,1
GO:0008117,0,1,0,0
GO:0008120,0,1,1,0
GO:0008121,12,8,4,4
GO:0008124,1,1,0,0
GO:0008131,3,0,1,2
GO:0008134,27,54,17,29
GO:0008135,63,61,28,39
GO:0008137,27,11,21,5
GO:0008138,5,8,2,3
GO:0008139,3,3,0,2
GO:0008140,0,1,0,0
GO:0008142,1,3,1,4
GO:0008143,1,7,2,2
GO:0008144,9,11,18,10
GO:0008146,15,11,22,8
GO:0008150,2352,2937,1784,1626
GO:0008152,1629,1960,1217,1063
GO:0008154,4,6,4,5
GO:0008156,1,1,0,1
GO:0008157,3,4,3,4
GO:0008158,0,2,0,0
GO:0008160,0,1,0,0
GO:0008168,22,35,19,13
GO:0008169,0,1,0,0
GO:0008170,8,14,5,4
GO:0008171,5,4,7,4
GO:0008172,0,1,0,1
GO:0008173,6,7,5,4
GO:0008174,1,0,0,0
GO:0008175,2,4,3,3
GO:0008176,2,1,0,1
GO:0008177,2,5,0,0
GO:0008179,0,2,0,2
GO:0008180,6,6,2,4
GO:0008184,2,0,0,5
GO:0008186,24,31,8,19
GO:0008187,11,9,6,14
GO:0008188,0,3,0,3
GO:0008190,1,1,0,1
GO:0008191,0,1,0,0
GO:0008192,0,3,0,0
GO:0008193,0,2,0,0
GO:0008194,7,15,13,7
GO:0008195,0,2,1,1
GO:0008198,3,0,0,0
GO:0008200,1,2,3,0
GO:0008201,4,8,5,6
GO:0008202,14,27,28,12
GO:0008203,4,12,8,4
GO:0008204,1,2,1,2
GO:0008205,2,5,0,2
GO:0008206,1,1,4,2
GO:0008207,1,2,4,1
GO:0008209,4,9,3,4
GO:0008210,1,1,0,1
GO:0008213,9,27,9,8
GO:0008214,1,8,1,0
GO:0008215,0,1,0,1
GO:0008216,1,2,1,2
GO:0008217,6,5,4,9
GO:0008219,117,133,90,75
GO:0008227,0,1,0,0
GO:0008230,1,3,0,1
GO:0008231,1,2,0,1
GO:0008232,0,1,0,0
GO:0008233,101,104,85,48
GO:0008234,25,30,15,14
GO:0008235,0,5,8,0
GO:0008236,23,23,23,11
GO:0008237,12,22,22,8
GO:0008238,23,16,26,8
GO:0008239,4,5,2,0
GO:0008240,1,0,0,1
GO:0008241,1,0,1,2
GO:0008242,1,1,3,0
GO:0008250,4,5,2,2
GO:0008251,1,1,0,0
GO:0008252,5,9,5,0
GO:0008253,4,7,3,0
GO:0008258,9,14,3,5
GO:0008260,1,1,4,0
GO:0008262,1,1,0,0
GO:0008265,1,1,0,0
GO:0008266,2,2,1,2
GO:0008269,0,1,0,1
GO:0008270,19,28,28,18
GO:0008271,0,3,1,2
GO:0008272,0,5,2,2
GO:0008273,1,0,1,0
GO:0008274,1,0,0,0
GO:0008276,7,15,3,4
GO:0008277,6,10,7,7
GO:0008278,4,3,1,2
GO:0008280,0,1,0,1
GO:0008283,71,116,60,51
GO:0008284,20,33,28,11
GO:0008285,23,35,20,19
GO:0008286,14,13,5,6
GO:0008287,6,7,2,2
GO:0008289,50,81,55,31
GO:0008290,3,2,2,3
GO:0008293,6,13,2,7
GO:0008294,1,1,0,0
GO:0008295,1,1,1,1
GO:0008296,0,2,1,0
GO:0008297,0,1,1,0
GO:0008298,39,42,13,30
GO:0008299,12,15,21,10
GO:0008301,4,8,2,2
GO:0008302,3,3,0,0
GO:0008305,0,1,0,0
GO:0008306,11,19,10,11
GO:0008307,27,12,14,20
GO:0008308,0,1,2,0
GO:0008309,0,1,1,0
GO:0008310,0,0,1,0
GO:0008311,0,1,1,0
GO:0008312,4,4,1,3
GO:0008315,0,2,2,1
GO:0008318,1,4,2,1
GO:0008320,10,16,0,8
GO:0008324,81,91,58,51
GO:0008327,2,2,1,0
GO:0008328,1,1,0,3
GO:0008329,1,6,1,2
GO:0008333,3,9,9,7
GO:0008334,0,1,0,4
GO:0008335,0,1,0,0
GO:0008340,98,125,71,68
GO:0008343,2,3,4,6
GO:0008344,28,30,14,17
GO:0008345,5,10,6,2
GO:0008347,4,7,5,4
GO:0008348,0,2,0,2
GO:0008349,0,1,1,1
GO:0008353,0,3,1,1
GO:0008354,11,20,6,10
GO:0008355,9,16,9,9
GO:0008356,19,44,15,24
GO:0008358,40,50,12,27
GO:0008359,1,1,0,2
GO:0008360,32,62,29,39
GO:0008361,23,23,6,19
GO:0008362,4,11,1,5
GO:0008363,5,7,1,7
GO:0008365,1,0,0,0
GO:0008366,4,7,5,4
GO:0008374,4,11,9,4
GO:0008375,1,3,1,0
GO:0008376,1,3,0,2
GO:0008378,2,3,1,3
GO:0008379,4,2,3,2
GO:0008380,107,141,62,90
GO:0008384,0,2,0,1
GO:0008385,0,2,0,1
GO:0008389,0,1,7,0
GO:0008390,1,1,7,0
GO:0008391,0,1,7,0
GO:0008392,0,1,7,0
GO:0008395,1,3,7,0
GO:0008404,0,1,7,0
GO:0008405,0,1,7,0
GO:0008406,36,103,25,37
GO:0008407,7,8,6,9
GO:0008408,8,7,2,2
GO:0008409,0,1,1,3
GO:0008410,1,3,4,0
GO:0008411,0,2,0,0
GO:0008412,2,0,0,0
GO:0008413,2,0,0,1
GO:0008414,2,1,0,1
GO:0008416,1,1,1,2
GO:0008417,3,2,5,2
GO:0008418,0,0,0,1
GO:0008419,1,0,0,0
GO:0008420,1,2,1,2
GO:0008422,0,0,1,0
GO:0008424,1,0,0,0
GO:0008425,0,1,0,0
GO:0008426,3,3,1,8
GO:0008428,0,1,3,0
GO:0008429,0,2,1,1
GO:0008430,3,2,2,2
GO:0008431,12,8,21,3
GO:0008432,2,0,1,0
GO:0008440,0,2,0,1
GO:0008441,0,2,2,0
GO:0008442,0,1,1,1
GO:0008443,0,3,0,0
GO:0008444,0,1,0,0
GO:0008445,2,0,2,0
GO:0008446,1,1,2,0
GO:0008448,1,0,0,1
GO:0008449,0,1,0,1
GO:0008453,1,3,0,2
GO:0008455,0,1,0,0
GO:0008456,2,1,0,1
GO:0008458,0,1,1,0
GO:0008460,0,0,2,0
GO:0008466,0,0,1,0
GO:0008469,1,1,0,1
GO:0008470,0,2,1,1
GO:0008474,0,1,1,0
GO:0008475,0,2,0,0
GO:0008478,0,0,2,0
GO:0008479,1,0,2,0
GO:0008480,0,1,0,0
GO:0008482,0,2,0,1
GO:0008483,10,14,5,9
GO:0008484,5,5,0,2
GO:0008486,0,0,0,1
GO:0008490,1,0,1,1
GO:0008493,0,1,0,0
GO:0008499,0,1,1,2
GO:0008504,0,1,0,0
GO:0008507,1,0,3,3
GO:0008508,0,2,0,0
GO:0008509,38,67,42,29
GO:0008510,1,2,0,0
GO:0008511,0,3,1,0
GO:0008513,0,4,2,2
GO:0008514,28,47,33,19
GO:0008517,0,1,1,0
GO:0008520,0,0,0,1
GO:0008521,0,2,0,0
GO:0008523,1,1,1,2
GO:0008524,0,1,1,0
GO:0008525,0,2,4,1
GO:0008526,1,2,2,0
GO:0008528,0,4,1,3
GO:0008531,0,2,1,0
GO:0008534,0,0,0,1
GO:0008535,2,2,4,2
GO:0008536,2,2,2,1
GO:0008540,4,4,5,8
GO:0008541,4,10,5,7
GO:0008542,2,3,2,1
GO:0008543,8,3,2,4
GO:0008544,13,18,11,10
GO:0008545,0,1,3,0
GO:0008553,16,8,8,8
GO:0008556,1,2,3,2
GO:0008559,0,1,0,2
GO:0008565,23,31,12,18
GO:0008569,0,1,0,0
GO:0008574,0,1,1,1
GO:0008579,0,1,0,0
GO:0008582,22,39,13,24
GO:0008583,0,1,0,1
GO:0008584,12,10,6,7
GO:0008585,19,72,11,23
GO:0008586,4,13,4,9
GO:0008587,7,15,9,13
GO:0008588,1,1,2,0
GO:0008589,13,19,10,12
GO:0008592,1,2,2,2
GO:0008593,19,30,11,15
GO:0008594,3,7,3,6
GO:0008595,46,54,14,29
GO:0008597,0,0,1,0
GO:0008599,1,3,1,5
GO:0008601,4,2,0,1
GO:0008603,1,2,0,2
GO:0008607,3,2,2,1
GO:0008608,4,3,1,0
GO:0008610,52,83,89,37
GO:0008611,0,4,1,2
GO:0008612,0,3,0,1
GO:0008614,2,1,1,1
GO:0008615,2,1,1,1
GO:0008616,1,0,2,0
GO:0008617,0,0,2,0
GO:0008622,1,0,0,0
GO:0008623,1,1,0,1
GO:0008630,1,10,3,3
GO:0008637,5,1,2,1
GO:0008641,1,9,4,6
GO:0008643,8,9,7,6
GO:0008645,5,4,1,4
GO:0008649,3,3,2,1
GO:0008650,1,0,1,1
GO:0008652,22,31,12,16
GO:0008654,12,20,12,7
GO:0008655,0,1,1,0
GO:0008657,1,0,0,0
GO:0008683,2,0,0,0
GO:0008686,3,0,0,0
GO:0008732,1,1,3,0
GO:0008746,1,0,0,1
GO:0008753,0,0,0,2
GO:0008757,19,27,18,10
GO:0008768,0,0,0,2
GO:0008774,1,2,0,2
GO:0008785,0,1,2,0
GO:0008798,0,0,1,0
GO:0008805,1,4,1,0
GO:0008808,0,1,0,0
GO:0008812,1,0,0,1
GO:0008821,0,0,0,1
GO:0008834,0,0,1,0
GO:0008835,0,0,1,0
GO:0008859,1,0,0,0
GO:0008863,2,1,1,1
GO:0008865,1,5,1,0
GO:0008881,1,0,0,0
GO:0008889,0,1,0,0
GO:0008890,1,0,0,0
GO:0008891,1,1,1,0
GO:0008893,0,0,1,0
GO:0008897,0,0,0,1
GO:0008898,0,1,0,1
GO:0008903,2,0,0,0
GO:0008905,1,2,0,0
GO:0008934,0,0,0,1
GO:0008936,1,0,0,0
GO:0008946,0,0,1,0
GO:0008949,1,1,0,0
GO:0008970,0,1,0,0
GO:0008973,0,0,0,1
GO:0009041,1,1,0,0
GO:0009044,0,0,1,0
GO:0009047,3,3,3,4
GO:0009048,1,0,0,0
GO:0009052,0,0,1,0
GO:0009055,46,49,64,26
GO:0009056,394,456,288,248
GO:0009057,123,122,71,87
GO:0009058,586,664,420,352
GO:0009059,437,455,243,253
GO:0009060,21,31,14,9
GO:0009062,10,16,17,9
GO:0009063,18,22,17,14
GO:0009064,13,15,9,4
GO:0009065,6,6,5,2
GO:0009066,6,9,5,6
GO:0009067,3,3,3,1
GO:0009068,2,2,0,1
GO:0009069,11,12,6,5
GO:0009070,10,8,4,5
GO:0009071,2,2,2,1
GO:0009072,7,10,7,6
GO:0009074,7,6,5,5
GO:0009078,0,0,0,1
GO:0009079,0,0,0,1
GO:0009081,2,6,3,3
GO:0009082,0,3,1,0
GO:0009083,1,2,1,3
GO:0009084,3,4,2,2
GO:0009085,0,0,1,0
GO:0009086,3,3,2,1
GO:0009087,0,0,0,1
GO:0009092,1,0,1,2
GO:0009093,1,0,0,1
GO:0009098,0,0,1,0
GO:0009100,29,33,27,17
GO:0009101,28,30,25,17
GO:0009106,1,1,0,0
GO:0009107,0,1,0,0
GO:0009108,32,36,32,15
GO:0009110,7,6,12,2
GO:0009112,7,18,17,7
GO:0009113,2,8,6,1
GO:0009116,210,243,139,116
GO:0009117,233,276,159,125
GO:0009118,10,25,12,13
GO:0009119,209,241,134,114
GO:0009120,1,2,5,2
GO:0009123,148,168,87,75
GO:0009124,21,19,16,5
GO:0009125,138,152,73,73
GO:0009126,147,166,82,75
GO:0009127,20,17,12,5
GO:0009128,138,152,72,73
GO:0009129,1,1,3,0
GO:0009130,1,1,3,0
GO:0009132,8,6,7,2
GO:0009133,1,2,1,1
GO:0009134,4,4,4,1
GO:0009135,1,2,1,1
GO:0009136,1,2,1,1
GO:0009141,191,222,119,110
GO:0009142,14,5,6,4
GO:0009143,187,219,115,109
GO:0009144,191,221,117,109
GO:0009145,14,4,4,3
GO:0009146,187,219,115,109
GO:0009147,3,1,3,1
GO:0009148,3,1,2,1
GO:0009149,0,0,1,0
GO:0009150,207,239,128,112
GO:0009151,2,1,2,2
GO:0009152,29,22,14,7
GO:0009154,189,219,116,108
GO:0009155,2,1,0,2
GO:0009156,21,18,15,5
GO:0009157,0,1,2,0
GO:0009158,138,152,73,73
GO:0009161,148,167,86,75
GO:0009162,0,1,2,0
GO:0009163,32,26,21,9
GO:0009164,189,221,121,111
GO:0009165,36,37,28,11
GO:0009166,189,220,118,109
GO:0009167,147,166,82,75
GO:0009168,20,17,12,5
GO:0009169,138,152,72,73
GO:0009173,1,1,3,0
GO:0009174,1,1,3,0
GO:0009179,1,2,1,1
GO:0009180,1,2,1,1
GO:0009185,5,6,5,2
GO:0009187,2,2,0,0
GO:0009188,1,2,1,1
GO:0009190,2,1,0,0
GO:0009191,4,4,4,1
GO:0009199,191,221,119,109
GO:0009200,2,1,2,2
GO:0009201,14,5,6,4
GO:0009203,187,218,115,108
GO:0009204,2,1,0,2
GO:0009205,191,220,117,108
GO:0009206,14,4,4,3
GO:0009207,187,218,115,108
GO:0009208,3,1,3,1
GO:0009209,3,1,2,1
GO:0009210,0,0,1,0
GO:0009215,2,1,2,2
GO:0009217,2,1,0,2
GO:0009218,4,2,6,1
GO:0009219,1,1,0,0
GO:0009220,4,2,5,1
GO:0009222,0,0,1,0
GO:0009225,5,8,4,0
GO:0009226,2,5,4,0
GO:0009231,3,2,2,0
GO:0009240,0,1,1,0
GO:0009247,3,4,0,0
GO:0009249,1,0,0,0
GO:0009250,1,4,5,4
GO:0009251,2,1,2,6
GO:0009252,1,0,0,0
GO:0009256,0,1,1,0
GO:0009259,208,241,133,113
GO:0009260,30,24,19,8
GO:0009261,189,219,116,108
GO:0009262,4,2,2,2
GO:0009263,1,0,0,0
GO:0009264,2,1,0,2
GO:0009265,1,0,0,0
GO:0009266,45,64,55,26
GO:0009267,22,25,18,9
GO:0009269,1,1,1,1
GO:0009272,1,0,0,0
GO:0009273,1,0,0,0
GO:0009277,1,0,0,0
GO:0009279,4,0,0,0
GO:0009295,9,10,8,4
GO:0009298,0,1,0,0
GO:0009301,6,6,2,3
GO:0009303,2,5,2,4
GO:0009304,0,2,0,0
GO:0009305,0,0,1,0
GO:0009306,11,17,16,5
GO:0009308,16,23,13,10
GO:0009309,1,6,3,4
GO:0009310,6,5,0,3
GO:0009311,9,9,5,5
GO:0009312,2,4,3,1
GO:0009313,0,0,2,0
GO:0009314,48,76,41,38
GO:0009328,0,1,0,0
GO:0009353,2,6,0,2
GO:0009361,1,1,0,1
GO:0009368,0,1,0,0
GO:0009374,1,0,0,1
GO:0009394,4,2,2,2
GO:0009395,0,2,0,1
GO:0009396,2,3,0,1
GO:0009399,0,0,1,0
GO:0009403,0,0,1,0
GO:0009404,9,12,29,4
GO:0009405,0,1,1,0
GO:0009407,1,1,3,0
GO:0009408,31,33,20,14
GO:0009409,6,22,8,6
GO:0009410,18,18,30,11
GO:0009411,10,26,10,8
GO:0009414,1,2,2,1
GO:0009415,1,2,2,1
GO:0009416,41,67,26,33
GO:0009435,0,2,2,0
GO:0009437,1,3,6,2
GO:0009438,1,0,1,0
GO:0009441,1,0,1,0
GO:0009448,0,1,0,0
GO:0009450,0,1,0,0
GO:0009451,20,19,11,11
GO:0009452,7,6,3,3
GO:0009453,8,12,1,8
GO:0009454,1,0,0,0
GO:0009505,0,0,1,0
GO:0009506,2,2,4,2
GO:0009507,1,8,9,0
GO:0009524,1,1,0,1
GO:0009526,0,2,3,0
GO:0009532,0,1,6,0
GO:0009534,0,0,1,0
GO:0009536,1,8,9,0
GO:0009553,1,0,1,0
GO:0009555,0,6,3,0
GO:0009556,0,1,0,0
GO:0009559,1,0,0,0
GO:0009561,1,0,0,0
GO:0009566,9,15,6,9
GO:0009570,0,1,6,0
GO:0009574,0,4,1,0
GO:0009579,5,0,1,0
GO:0009581,18,16,14,17
GO:0009582,17,16,14,17
GO:0009583,11,15,7,10
GO:0009584,4,10,5,8
GO:0009589,0,4,1,1
GO:0009593,3,8,4,5
GO:0009594,1,0,0,0
GO:0009595,2,6,1,2
GO:0009605,170,230,122,126
GO:0009606,1,0,2,0
GO:0009607,76,80,78,52
GO:0009608,1,1,0,1
GO:0009611,33,64,35,27
GO:0009612,22,15,15,14
GO:0009615,11,4,4,4
GO:0009617,55,53,58,33
GO:0009620,11,18,14,8
GO:0009628,158,182,135,96
GO:0009629,6,10,3,6
GO:0009630,1,0,2,0
GO:0009631,5,13,1,3
GO:0009636,18,22,43,10
GO:0009639,0,1,0,0
GO:0009642,3,2,3,4
GO:0009648,2,5,1,2
GO:0009649,4,5,1,4
GO:0009650,0,3,1,0
GO:0009651,5,7,3,1
GO:0009653,494,749,383,391
GO:0009657,0,1,1,0
GO:0009658,0,1,1,0
GO:0009698,0,1,7,0
GO:0009712,2,6,9,0
GO:0009713,0,3,9,0
GO:0009719,99,93,85,56
GO:0009720,0,1,0,0
GO:0009723,0,0,1,0
GO:0009725,51,48,46,26
GO:0009726,0,1,0,0
GO:0009733,0,1,1,0
GO:0009734,0,1,1,0
GO:0009743,2,9,5,1
GO:0009744,0,2,1,0
GO:0009746,1,3,2,0
GO:0009749,1,3,2,0
GO:0009753,0,0,1,0
GO:0009755,8,5,5,6
GO:0009756,0,0,1,0
GO:0009757,0,0,1,0
GO:0009786,0,1,0,2
GO:0009787,1,0,1,0
GO:0009788,0,0,1,0
GO:0009789,1,0,0,0
GO:0009790,254,340,186,206
GO:0009791,252,414,210,221
GO:0009792,166,200,128,143
GO:0009793,0,3,1,0
GO:0009794,3,2,0,1
GO:0009798,65,95,28,60
GO:0009799,13,20,6,7
GO:0009804,0,1,7,0
GO:0009814,0,0,1,0
GO:0009817,0,0,1,0
GO:0009820,1,1,8,1
GO:0009822,1,1,7,0
GO:0009826,11,8,4,11
GO:0009845,0,0,1,0
GO:0009847,0,0,1,0
GO:0009855,13,20,6,7
GO:0009867,0,0,1,0
GO:0009880,54,75,23,40
GO:0009881,1,2,1,2
GO:0009886,143,274,102,122
GO:0009887,166,340,125,155
GO:0009888,264,336,188,209
GO:0009889,285,467,181,233
GO:0009890,93,127,47,63
GO:0009891,94,140,55,84
GO:0009892,152,214,99,121
GO:0009893,141,203,94,114
GO:0009894,55,91,38,51
GO:0009895,13,15,9,14
GO:0009896,11,19,9,10
GO:0009897,2,8,5,8
GO:0009898,6,12,9,6
GO:0009908,0,1,1,0
GO:0009913,11,16,11,9
GO:0009914,5,9,11,2
GO:0009922,6,6,20,3
GO:0009925,3,1,0,2
GO:0009926,4,8,9,2
GO:0009931,1,1,0,0
GO:0009934,4,8,9,2
GO:0009941,0,2,3,0
GO:0009948,49,56,16,32
GO:0009949,0,1,0,1
GO:0009950,25,36,12,25
GO:0009951,0,2,0,1
GO:0009952,57,71,21,41
GO:0009953,35,54,17,41
GO:0009954,3,1,0,0
GO:0009962,4,8,9,2
GO:0009963,4,8,9,2
GO:0009966,136,217,113,110
GO:0009967,64,91,59,46
GO:0009968,50,91,40,46
GO:0009970,0,0,1,0
GO:0009972,1,0,0,0
GO:0009975,2,3,0,0
GO:0009986,17,31,11,22
GO:0009987,1993,2450,1446,1399
GO:0009988,0,2,1,2
GO:0009991,49,61,53,28
GO:0009992,0,0,0,2
GO:0009994,63,93,31,52
GO:0009996,1,6,0,4
GO:0009997,0,1,0,2
GO:0010001,4,8,4,3
GO:0010002,0,3,0,0
GO:0010004,5,13,3,9
GO:0010005,0,3,1,0
GO:0010008,25,30,26,14
GO:0010011,0,1,1,0
GO:0010015,0,0,1,0
GO:0010016,4,8,9,2
GO:0010025,0,3,1,2
GO:0010032,0,1,0,0
GO:0010033,170,179,119,110
GO:0010035,48,42,54,30
GO:0010037,0,0,1,0
GO:0010038,34,25,40,20
GO:0010039,1,0,0,0
GO:0010040,1,0,0,0
GO:0010043,3,3,1,0
GO:0010044,5,0,1,2
GO:0010046,0,0,1,0
GO:0010073,0,0,1,0
GO:0010075,0,0,1,0
GO:0010082,0,0,1,0
GO:0010106,1,0,1,0
GO:0010114,0,1,0,0
GO:0010115,0,0,1,0
GO:0010142,0,1,1,0
GO:0010143,0,0,1,0
GO:0010152,0,1,1,0
GO:0010154,0,3,2,0
GO:0010155,2,1,2,1
GO:0010160,7,4,0,8
GO:0010164,0,0,2,0
GO:0010165,3,5,3,1
GO:0010166,0,3,1,2
GO:0010167,0,1,1,0
GO:0010171,19,37,35,10
GO:0010172,0,2,1,1
GO:0010177,0,0,1,0
GO:0010181,1,1,9,0
GO:0010182,0,0,1,0
GO:0010193,0,1,7,0
GO:0010197,1,0,0,0
GO:0010212,6,10,15,3
GO:0010218,0,1,0,0
GO:0010223,4,8,9,2
GO:0010224,0,1,0,1
GO:0010225,1,0,2,0
GO:0010226,4,0,0,3
GO:0010243,64,60,59,31
GO:0010255,0,0,1,0
GO:0010256,1,1,0,2
GO:0010257,2,3,2,0
GO:0010259,101,127,73,70
GO:0010269,4,0,1,2
GO:0010286,0,0,1,0
GO:0010288,3,4,1,0
GO:0010308,1,0,0,0
GO:0010309,0,0,3,0
GO:0010314,1,0,4,0
GO:0010324,5,9,10,6
GO:0010332,2,3,10,0
GO:0010340,2,2,0,1
GO:0010346,4,8,9,2
GO:0010369,0,4,0,1
GO:0010380,0,1,1,0
GO:0010383,0,0,1,0
GO:0010385,0,3,1,0
GO:0010388,3,0,0,0
