,tick0,tick1,tick2,tick4
GO:0000737,0,3,3,1
GO:0000738,0,0,1,3
GO:0000741,3,3,1,0
GO:0000742,1,0,0,0
GO:0000743,1,0,0,0
GO:0000746,2,0,2,1
GO:0000747,2,0,2,1
GO:0000749,0,0,2,0
GO:0000750,0,0,1,0
GO:0000753,0,0,1,0
GO:0000767,0,0,1,0
GO:0000768,9,14,9,11
GO:0000775,9,23,9,9
GO:0000776,5,11,7,8
GO:0000777,1,6,4,5
GO:0000778,0,0,1,0
GO:0000779,2,6,4,5
GO:0000780,1,0,1,0
GO:0000781,5,10,2,2
GO:0000784,1,5,2,0
GO:0000785,43,69,30,41
GO:0000786,3,5,9,12
GO:0000790,21,30,13,12
GO:0000791,3,9,3,4
GO:0000792,3,13,2,3
GO:0000793,10,28,12,10
GO:0000794,4,15,5,3
GO:0000795,1,3,0,1
GO:0000796,0,4,0,0
GO:0000798,0,0,0,1
GO:0000800,1,1,0,1
GO:0000801,0,2,0,0
GO:0000803,4,3,2,1
GO:0000805,3,3,1,0
GO:0000808,0,5,6,0
GO:0000811,0,0,1,0
GO:0000815,3,4,11,3
GO:0000819,15,24,13,6
GO:0000822,0,1,1,0
GO:0000827,1,0,0,0
GO:0000828,1,0,0,0
GO:0000832,1,0,0,0
GO:0000835,1,3,1,1
GO:0000836,0,1,1,1
GO:0000837,1,2,0,0
GO:0000900,1,3,2,2
GO:0000902,187,263,118,146
GO:0000904,121,191,75,101
GO:0000905,0,0,1,0
GO:0000909,0,0,1,0
GO:0000910,41,74,33,24
GO:0000912,1,6,1,4
GO:0000915,1,6,1,4
GO:0000916,5,8,2,5
GO:0000920,3,1,0,0
GO:0000922,12,18,7,9
GO:0000930,1,0,0,0
GO:0000931,1,0,0,0
GO:0000932,7,9,3,6
GO:0000935,0,0,1,0
GO:0000940,0,2,3,0
GO:0000942,0,0,1,0
GO:0000944,1,1,1,0
GO:0000956,21,24,7,12
GO:0000959,2,5,1,1
GO:0000966,1,0,0,0
GO:0000974,1,0,0,0
GO:0000975,14,25,10,13
GO:0000976,7,11,4,4
GO:0000977,7,7,3,4
GO:0000978,0,2,0,0
GO:0000979,0,0,1,0
GO:0000980,3,2,0,4
GO:0000981,13,27,6,6
GO:0000982,6,15,3,2
GO:0000983,0,0,1,0
GO:0000987,0,2,0,0
GO:0000988,49,55,22,43
GO:0000989,49,55,22,43
GO:0000990,0,0,1,0
GO:0000991,0,0,1,0
GO:0000993,0,1,0,0
GO:0000995,0,0,1,0
GO:0001007,0,0,1,0
GO:0001012,7,9,3,4
GO:0001013,0,0,1,1
GO:0001016,0,0,1,0
GO:0001026,0,0,1,0
GO:0001046,0,0,1,0
GO:0001047,0,3,1,0
GO:0001067,14,25,10,13
GO:0001071,56,165,34,63
GO:0001075,0,0,1,0
GO:0001076,17,21,4,15
GO:0001077,6,13,3,2
GO:0001078,0,4,0,0
GO:0001082,0,0,1,0
GO:0001083,1,2,1,1
GO:0001085,3,12,3,6
GO:0001091,1,6,1,2
GO:0001092,0,3,0,1
GO:0001094,0,2,0,0
GO:0001096,1,1,1,1
GO:0001098,1,7,1,2
GO:0001099,1,7,1,2
GO:0001101,7,4,4,4
GO:0001102,2,4,1,3
GO:0001104,15,17,2,14
GO:0001105,2,4,0,3
GO:0001106,1,2,0,1
GO:0001109,4,5,1,3
GO:0001111,4,5,1,3
GO:0001112,4,5,1,2
GO:0001113,4,5,1,2
GO:0001120,4,5,1,2
GO:0001129,1,2,1,1
GO:0001132,1,2,1,1
GO:0001134,0,0,1,0
GO:0001158,3,4,0,4
GO:0001159,0,2,0,0
GO:0001163,0,0,1,1
GO:0001167,0,0,1,0
GO:0001169,0,0,1,0
GO:0001173,0,2,3,0
GO:0001174,0,2,3,0
GO:0001179,0,0,1,0
GO:0001186,0,0,1,0
GO:0001190,2,4,0,3
GO:0001191,1,5,1,1
GO:0001227,0,4,0,0
GO:0001228,6,13,3,2
GO:0001302,0,2,2,0
GO:0001403,0,1,1,2
GO:0001411,0,0,1,0
GO:0001501,6,11,8,6
GO:0001503,3,3,2,1
GO:0001504,2,1,3,0
GO:0001505,37,67,42,32
GO:0001508,15,14,7,6
GO:0001510,7,10,6,4
GO:0001514,2,0,0,0
GO:0001516,0,1,1,0
GO:0001519,0,2,1,0
GO:0001522,4,3,2,2
GO:0001523,2,3,11,2
GO:0001525,4,5,7,6
GO:0001527,0,1,0,0
GO:0001530,6,6,2,3
GO:0001539,1,0,0,0
GO:0001540,1,4,2,2
GO:0001541,1,0,0,4
GO:0001545,0,0,0,2
GO:0001554,0,2,0,0
GO:0001555,2,1,1,2
GO:0001556,1,4,1,3
GO:0001558,25,39,14,21
GO:0001561,3,1,1,0
GO:0001568,10,13,15,9
GO:0001570,3,4,0,3
GO:0001573,0,0,1,0
GO:0001578,7,8,0,4
GO:0001579,0,2,2,0
GO:0001609,0,0,0,1
GO:0001640,1,0,0,0
GO:0001641,1,0,0,0
GO:0001651,1,0,0,1
GO:0001652,0,0,1,1
GO:0001653,0,4,1,3
GO:0001654,71,125,48,67
GO:0001655,14,26,11,19
GO:0001657,0,0,0,1
GO:0001658,0,0,0,1
GO:0001661,0,0,0,1
GO:0001662,2,1,0,0
GO:0001664,3,4,2,2
GO:0001666,42,33,24,16
GO:0001667,49,72,25,35
GO:0001669,5,1,3,1
GO:0001671,0,1,0,1
GO:0001672,2,2,3,0
GO:0001673,2,2,2,1
GO:0001674,2,1,1,1
GO:0001676,15,18,28,5
GO:0001677,2,1,1,0
GO:0001678,1,6,2,0
GO:0001696,0,2,0,0
GO:0001700,45,72,25,43
GO:0001701,15,13,12,7
GO:0001702,1,4,4,2
GO:0001703,6,18,7,10
GO:0001704,2,10,6,1
GO:0001705,0,1,0,0
GO:0001706,0,5,0,1
GO:0001707,2,9,6,0
GO:0001708,3,9,1,6
GO:0001709,23,40,7,27
GO:0001710,0,5,0,0
GO:0001711,0,2,0,1
GO:0001712,0,1,0,0
GO:0001714,0,1,0,1
GO:0001715,0,1,0,0
GO:0001725,6,7,1,1
GO:0001726,1,5,2,1
GO:0001727,1,1,0,1
GO:0001729,1,1,0,1
GO:0001732,0,0,0,1
GO:0001736,15,20,7,11
GO:0001737,5,5,4,3
GO:0001738,18,29,8,14
GO:0001740,1,0,1,0
GO:0001741,1,0,1,1
GO:0001742,2,2,2,0
GO:0001743,1,1,0,0
GO:0001744,1,1,0,0
GO:0001745,51,81,32,47
GO:0001746,0,1,0,0
GO:0001748,1,2,1,1
GO:0001750,0,1,1,0
GO:0001751,30,53,23,28
GO:0001752,10,27,10,8
GO:0001754,34,58,26,32
GO:0001755,0,0,0,1
GO:0001756,3,5,2,1
GO:0001757,2,2,0,1
GO:0001758,1,0,2,1
GO:0001760,0,0,0,1
GO:0001763,20,34,19,23
GO:0001764,2,3,1,4
GO:0001771,0,0,0,1
